Processing generated_ensemble_output.midi...
Track 0: 
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
Note Start: 0, Note End: 0, Note Name: C-1, Velocity: 127
